name,ip-address,set-if-exists,ignore-warnings,ignore-errors,comments
DMZ.RT.IF,10.100.1.1,true,true,true,"DMZ Palo If adress"
Clients.RT.IF,10.100.10.1,true,true,true,"Clients Palo IF Adress"
MgM.RT.IF,192.168.1.1,true,true,true,"Management Palo IF Adress"
Others.RT.IF,10.100.11.1,true,true,true,"Palo Others Lan IF Adress"
IPsec-Peer,10.100.90.1,true,true,true,"Peer address of ipsec remote-office"
WAN.RT.IF,10.10.10.151,true,true,true,"Wan interface palo"
WAN-PAN-IF,10.10.10.151,true,true,true,
WAN-GW,10.10.10.254,true,true,true,"IP Adress of WAN GW"
cloudflair-dns,1.1.1.1,true,true,true,
google-dns,8.8.8.8,true,true,true,
WEB-Server,10.100.1.5,true,true,true,"Web-server"
WEB-Server-Public-IP,10.10.10.161,true,true,true,
